is_number,title,description,category,dept,status,reaffirmed,language
IS 456:2000,Plain and Reinforced Concrete — Code of Practice (Fourth Revision),"The master code governing design, detailing and acceptance criteria for plain and reinforced cement concrete structures in India.",civil,CED 2,Active,2021,English/Hindi
IS 383:2016,Coarse and Fine Aggregate for Concrete — Specification (Third Revision),"Specifies grading, physical requirements and quality of natural and manufactured aggregates used in concrete.",civil,CED 2,Active,2021,English
IS 269:2015,Ordinary Portland Cement — Specification (Sixth Revision),"Minimum chemical and physical requirements for 33, 43 and 53 grade ordinary Portland cement.",civil,CED 2,Active,2020,English/Hindi
IS 1489 (Part 1):2015,Portland Pozzolana Cement — Specification: Fly Ash Based (Fourth Revision),Quality requirements and test methods for fly-ash based Portland Pozzolana Cement (PPC).,civil,CED 2,Active,2020,English
IS 800:2007,General Construction in Steel — Code of Practice (Third Revision),Limit state design provisions for general construction using hot rolled steel sections.,civil,CED 7,Active,2022,English
IS 1893 (Part 1):2016,Criteria for Earthquake Resistant Design of Structures — General Provisions (Sixth Revision),Seismic zoning map and design criteria for earthquake resistant structures across India.,civil,CED 39,Active,2021,English
IS 13920:2016,Ductile Design and Detailing of RC Structures Subjected to Seismic Forces (Second Revision),Detailing requirements to ensure ductile behaviour of reinforced concrete members under seismic loading.,civil,CED 39,Active,2021,English
IS 875 (Part 3):2015,Design Loads for Buildings and Structures — Wind Loads (Third Revision),Basic wind speed maps and wind load calculation procedures for building design.,civil,CED 37,Active,2020,English
IS 2062:2011,Hot Rolled Medium and High Tensile Structural Steel — Specification (Seventh Revision),Chemical composition and mechanical property requirements for structural steel plates and sections.,metallurgy,MTD 4,Active,2021,English
IS 10262:2019,Concrete Mix Proportioning — Guidelines (Second Revision),Step-by-step procedure for proportioning ingredients of concrete mixes to a target strength.,civil,CED 2,Active,2022,English
IS 1200 (Part 1):1992,Method of Measurement of Building and Civil Engineering Works — Earthwork,Standard method for measuring earthwork quantities in civil works billing.,civil,CED 44,Active,2019,English
IS 3370 (Part 4):2021,Concrete Structures for Retaining Aqueous Liquids — Design Tables (First Revision),Design tables for liquid-retaining concrete structures such as tanks and reservoirs.,civil,CED 2,Active,2021,English
IS 456:1978,Code of Practice for Plain and Reinforced Concrete (Third Revision),"Earlier revision of IS 456, superseded by IS 456:2000.",civil,CED 2,Superseded,,English
IS 732:2019,Code of Practice for Electrical Wiring Installations (Fourth Revision),Safety and workmanship provisions for low-voltage electrical wiring in buildings.,electrical,ETD 20,Active,2022,English/Hindi
IS 3043:2018,Code of Practice for Earthing (Second Revision),"Guidance on earth electrode design, testing and maintenance for electrical installations.",electrical,ETD 20,Active,2021,English
IS 4648:1968,Guide for Electrical Layout in Residential Buildings,Recommended practice for planning electrical points and circuits in homes.,electrical,ETD 20,Active,2018,English
IS 13779:1999,"AC Static Watt-Hour Meters, Class 1 and 2 — Specification",Accuracy classes and testing requirements for domestic electricity meters.,electrical,ETD 13,Active,2020,English
IS 302 (Part 1):2008,Safety of Household and Similar Electrical Appliances — General Requirements,General safety requirements applicable to all household electrical appliances.,electrical,ETD 32,Active,2021,English
IS 1554 (Part 1):1988,PVC Insulated (Heavy Duty) Electric Cables — Working Voltages up to 1100V,Construction and testing requirements for heavy-duty PVC insulated power cables.,electrical,ETD 09,Active,2019,English
IS 1239 (Part 1):2004,Mild Steel Tubes — Specification (Fifth Revision),Dimensions and quality requirements for welded and seamless mild steel tubes.,mechanical,MTD 19,Active,2020,English
IS 210:2009,Grey Iron Castings — Specification (Fourth Revision),Mechanical property grades for grey iron castings used in engineering applications.,metallurgy,MTD 3,Active,2021,English
IS 2062,"Structural Steel — Micro-alloyed, High Strength Low Alloy",Structural steel grades for fabrication where higher strength-to-weight ratio is required.,metallurgy,MTD 4,Active,2021,English
